[2023-05-17 18:40:04:563][main] INFO  zerobase.weather.WeatherApplication - Starting WeatherApplication using Java 1.8.0_362 on Hayeongui-MacBookPro.local with PID 14071 (/Users/hayeongkim/IdeaProjects/Part8_weather_diary/weather/build/classes/java/main started by hayeongkim in /Users/hayeongkim/IdeaProjects/Part8_weather_diary/weather)
[2023-05-17 18:40:04:566][main] INFO  zerobase.weather.WeatherApplication - No active profile set, falling back to 1 default profile: "default"
[2023-05-17 18:40:04:1096][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2023-05-17 18:40:05:1151][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 47 ms. Found 3 JPA repository interfaces.
[2023-05-17 18:40:05:1550][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[2023-05-17 18:40:05:1557][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2023-05-17 18:40:05:1557][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2023-05-17 18:40:05:1558][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.74]
[2023-05-17 18:40:05:1634][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2023-05-17 18:40:05:1634][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1026 ms
[2023-05-17 18:40:05:1759][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2023-05-17 18:40:06:2136][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2023-05-17 18:40:06:2178][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2023-05-17 18:40:06:2212][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-05-17 18:40:06:2341][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-05-17 18:40:06:2430][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
[2023-05-17 18:40:06:2907][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2023-05-17 18:40:06:2917][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2023-05-17 18:40:07:3300][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2023-05-17 18:40:07:3611][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2023-05-17 18:40:07:3631][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2023-05-17 18:40:07:3646][main] INFO  zerobase.weather.WeatherApplication - Started WeatherApplication in 3.497 seconds (JVM running for 4.051)
